status,source,destination_or_error
SKIPPED_AUDIO,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\20-Y-nghia-Manh-quy-phu-moc-di-ky-thuong.mp3,
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\01-Vo-thuong-tham-tham-vi-dieu-phap-Ba-thien-van-kiep-nan-tao-ngo1.vi.txt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\01-Vo-thuong-tham-tham-vi-dieu-phap-Ba-thien-van-kiep-nan-tao-ngo1.vi.txt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\01-Vo-thuong-tham-tham-vi-dieu-phap-Ba-thien-van-kiep-nan-tao-ngo1.vi.srt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\01-Vo-thuong-tham-tham-vi-dieu-phap-Ba-thien-van-kiep-nan-tao-ngo1.vi.srt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\01-Vo-thuong-tham-tham-vi-dieu-phap-Ba-thien-van-kiep-nan-tao-ngo1.vi.vtt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\01-Vo-thuong-tham-tham-vi-dieu-phap-Ba-thien-van-kiep-nan-tao-ngo1.vi.vtt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\02-Co-bay-cach-cau-tao-nhan-de-bo-kinh1.vi.txt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\02-Co-bay-cach-cau-tao-nhan-de-bo-kinh1.vi.txt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\02-Co-bay-cach-cau-tao-nhan-de-bo-kinh1.vi.vtt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\02-Co-bay-cach-cau-tao-nhan-de-bo-kinh1.vi.vtt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\02-Co-bay-cach-cau-tao-nhan-de-bo-kinh1.vi.srt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\02-Co-bay-cach-cau-tao-nhan-de-bo-kinh1.vi.srt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\03-Duc-Phap-than-la-gi1.vi.txt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\03-Duc-Phap-than-la-gi1.vi.txt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\03-Duc-Phap-than-la-gi1.vi.vtt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\03-Duc-Phap-than-la-gi1.vi.vtt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\04-Niet-ban-la-canh-gioi-so-chung-o-noi-tam-con-nguoi-dut-het-sanh-tu-Dut-het-sanh-tu-ra-sao1.vi.vtt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\04-Niet-ban-la-canh-gioi-so-chung-o-noi-tam-con-nguoi-dut-het-sanh-tu-Dut-het-sanh-tu-ra-sao1.vi.vtt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\04-Niet-ban-la-canh-gioi-so-chung-o-noi-tam-con-nguoi-dut-het-sanh-tu-Dut-het-sanh-tu-ra-sao1.vi.txt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\04-Niet-ban-la-canh-gioi-so-chung-o-noi-tam-con-nguoi-dut-het-sanh-tu-Dut-het-sanh-tu-ra-sao1.vi.txt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\04-Niet-ban-la-canh-gioi-so-chung-o-noi-tam-con-nguoi-dut-het-sanh-tu-Dut-het-sanh-tu-ra-sao1.vi.srt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\04-Niet-ban-la-canh-gioi-so-chung-o-noi-tam-con-nguoi-dut-het-sanh-tu-Dut-het-sanh-tu-ra-sao1.vi.srt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Vấn đáp Đại Bát Niết Bàn kinh tập 1\03-Duc-Phap-than-la-gi1.vi.srt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Vấn đáp Đại Bát Niết Bàn kinh tập 1\03-Duc-Phap-than-la-gi1.vi.srt
